country,agency,date,rating,rating_numeric,outlook,action,source,available_date
Greece,Fitch,1995-11-13,BBB-,10,,initial,countryeconomy.com,1995-11-13
Greece,Fitch,1997-06-04,BBB,9,,upgrade,countryeconomy.com,1997-06-04
Greece,Fitch,1999-08-10,BBB,9,Positive,affirm,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),1999-08-10
Greece,Fitch,1999-10-25,BBB+,8,,upgrade,countryeconomy.com,1999-10-25
Greece,Fitch,2000-03-13,BBB+,8,Positive,affirm,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2000-03-13
Greece,Fitch,2000-07-27,A-,7,,upgrade,countryeconomy.com,2000-07-27
Greece,Fitch,2000-09-21,A-,7,Stable,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2000-09-21
Greece,Fitch,2001-06-20,A,6,Stable,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2001-06-20
Greece,Fitch,2002-10-23,A,6,Positive,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2002-10-23
Greece,Fitch,2003-10-20,A+,5,Stable,upgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2003-10-20
Greece,Fitch,2004-09-28,A+,5,Negative,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2004-09-28
Greece,Fitch,2004-12-16,A,6,Stable,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2004-12-16
Greece,Fitch,2007-03-05,A,6,Positive,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2007-03-05
Greece,Fitch,2008-10-20,A,6,Stable,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2008-10-20
Greece,Fitch,2009-05-12,A,6,Negative,outlook_change,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2009-05-12
Greece,Fitch,2009-10-22,A-,7,Negative,downgrade,countryeconomy.com (confirmed by theglobaleconomy.com (month-precision)),2009-10-22
