country,agency,n_rows,n_single_sourced,pct_single_sourced
Nigeria,Moody's,15,15,100.0
Zambia,Moody's,11,11,100.0
Pakistan,S&P,31,26,83.9
Turkey,S&P,55,43,78.2
Brazil,S&P,44,33,75.0
Colombia,S&P,29,21,72.4
Sri_Lanka,Moody's,23,16,69.6
Italy,S&P,27,18,66.7
Sri_Lanka,S&P,26,16,61.5
Greece,S&P,49,30,61.2
South_Africa,S&P,25,14,56.0
Portugal,S&P,36,19,52.8
Greece,Fitch,87,45,51.7
Pakistan,Fitch,20,10,50.0
Sri_Lanka,Fitch,69,34,49.3
Egypt,S&P,33,16,48.5
Portugal,Fitch,49,23,46.9
Colombia,Fitch,43,20,46.5
Spain,S&P,26,12,46.2
South_Africa,Fitch,85,38,44.7
Italy,Fitch,81,36,44.4
Spain,Fitch,63,28,44.4
Nigeria,Fitch,34,14,41.2
Egypt,Fitch,73,27,37.0
Brazil,Moody's,33,12,36.4
Zambia,Fitch,23,8,34.8
Turkey,Moody's,32,11,34.4
Turkey,Fitch,83,28,33.7
Brazil,Fitch,60,20,33.3
Greece,Moody's,36,12,33.3
Pakistan,Moody's,33,11,33.3
Nigeria,S&P,18,6,33.3
Colombia,Moody's,22,6,27.3
Italy,Moody's,24,5,20.8
Zambia,S&P,11,2,18.2
South_Africa,Moody's,27,3,11.1
Spain,Moody's,21,2,9.5
Egypt,Moody's,32,3,9.4
Portugal,Moody's,23,1,4.3
