tier,algorithm,k_or_mcs,silhouette,bic,aic,ari_vs_dm_em,n_clusters_found,noise_frac
core,kmeans,2,0.15038706507979493,173716.61918115575,173587.39279394166,0.5541788013664518,2,0.0
core,gmm,2,0.11418021977353297,83286.93587103252,82480.80936031605,-0.009681650110396985,2,0.0
core,kmeans,3,0.1360639357631094,170210.02511913402,170019.26235705608,0.37684562199070176,3,0.0
core,gmm,3,0.11481516926589519,79331.3708365378,78119.1042517199,0.29579236872108744,3,0.0
core,kmeans,4,0.16175741042878325,167059.9891726008,166807.690035659,0.27161504239558204,4,0.0
core,gmm,4,0.07590112860503934,75428.66161119085,73810.25495227153,0.3664232164040439,4,0.0
core,kmeans,5,0.16691969111602104,164831.42912037988,164517.59360857424,0.2630252428724546,5,0.0
core,gmm,5,0.011892996956343422,65233.68145792802,63209.13472490726,0.23555900018339204,5,0.0
core,kmeans,6,0.1509661225576919,162642.19380957805,162266.82192290854,0.2076236690191857,6,0.0
core,gmm,6,0.012800625700108472,63349.7683373691,60919.08153024692,0.182246610504582,6,0.0
core,kmeans,7,0.15690399940194974,160861.16678129777,160424.2585197644,0.14185109435154736,7,0.0
core,gmm,7,0.00667882752347869,61689.82066148846,58852.99378026485,0.1873907145884621,7,0.0
core,kmeans,8,0.16197663939767018,159124.6205247499,158626.17588835268,0.1282244472992033,8,0.0
core,gmm,8,0.009374576205665496,60627.33428291274,57384.3673275877,0.20473591337077637,8,0.0
core,hdbscan,35,0.32751617181367754,,,0.018219908691371706,2,0.07508630609896433
core,hdbscan,70,,,,,0,1.0
core,hdbscan,174,,,,,0,1.0
extended,kmeans,2,0.19577592267085162,198822.14019771543,198670.06469973616,0.5612606625969372,2,0.0
extended,gmm,2,0.1996393129947701,80311.90875379433,79210.88214842432,-0.006480429184487414,2,0.0
extended,kmeans,3,0.1520406829947535,195042.69333830834,194817.621601299,0.3583808412408036,3,0.0
extended,gmm,3,0.12962843052644132,74501.9091737182,72847.3277557036,0.5174406580070319,3,0.0
extended,kmeans,4,0.1521024082892483,192137.08919409258,191839.02121805318,0.25794295276486495,4,0.0
extended,gmm,4,0.07121449216071614,61063.93911567044,58855.802885011246,0.35567688046714346,4,0.0
extended,kmeans,5,0.14638505121391532,189504.36476180656,189133.3005467371,0.24281216304839093,5,0.0
extended,gmm,5,0.12192978187599479,69773.38407036313,67011.69302705934,0.3118626120440337,5,0.0
extended,kmeans,6,0.16041440232258386,187295.3388000114,186851.2783459119,0.22660073093810598,6,0.0
extended,gmm,6,0.11306343830145232,69369.29723006013,66054.05137411175,0.31070095895470606,6,0.0
extended,kmeans,7,0.16461909796386728,185210.97225642105,184693.9155632915,0.21825491650367637,7,0.0
extended,gmm,7,0.11702632315062327,66760.02264759535,62891.22197900238,0.2887994409526854,7,0.0
extended,kmeans,8,0.16026148594786746,183274.50269136543,182684.4497592058,0.18223319063957055,8,0.0
extended,gmm,8,0.09153762966014953,65028.239671597286,60605.88419035973,0.21969023156628784,8,0.0
extended,hdbscan,32,0.3142778079977897,,,0.013121437248249655,2,0.08953380673047237
extended,hdbscan,65,,,,,0,1.0
extended,hdbscan,162,,,,,0,1.0
