country_code,country_name,dm_em_flag,rebal_date,risk_tier
CHL,Chile,EM,2006-06-30,core-eligible
CZE,Czech Republic,EM,2006-06-30,core-eligible
GRC,Greece,DM,2006-06-30,satellite-candidate
ITA,Italy,DM,2006-06-30,satellite-candidate
JPN,Japan,DM,2006-06-30,satellite-candidate
KAZ,Kazakhstan,EM,2006-06-30,core-eligible
MYS,Malaysia,EM,2006-06-30,core-eligible
POL,Poland,EM,2006-06-30,core-eligible
PRT,Portugal,DM,2006-06-30,satellite-candidate
ZAF,South Africa,EM,2006-06-30,core-eligible
GBR,United Kingdom,DM,2006-06-30,satellite-candidate
VNM,Vietnam,EM,2006-06-30,core-eligible
CHL,Chile,EM,2006-09-30,core-eligible
CZE,Czech Republic,EM,2006-09-30,core-eligible
GRC,Greece,DM,2006-09-30,satellite-candidate
ITA,Italy,DM,2006-09-30,satellite-candidate
JPN,Japan,DM,2006-09-30,satellite-candidate
KAZ,Kazakhstan,EM,2006-09-30,core-eligible
MYS,Malaysia,EM,2006-09-30,core-eligible
POL,Poland,EM,2006-09-30,core-eligible
PRT,Portugal,DM,2006-09-30,satellite-candidate
ZAF,South Africa,EM,2006-09-30,core-eligible
GBR,United Kingdom,DM,2006-09-30,satellite-candidate
VNM,Vietnam,EM,2006-09-30,core-eligible
CHL,Chile,EM,2006-12-31,core-eligible
CZE,Czech Republic,EM,2006-12-31,core-eligible
GRC,Greece,DM,2006-12-31,satellite-candidate
ITA,Italy,DM,2006-12-31,satellite-candidate
JPN,Japan,DM,2006-12-31,satellite-candidate
KAZ,Kazakhstan,EM,2006-12-31,core-eligible
MYS,Malaysia,EM,2006-12-31,core-eligible
POL,Poland,EM,2006-12-31,core-eligible
PRT,Portugal,DM,2006-12-31,satellite-candidate
ZAF,South Africa,EM,2006-12-31,core-eligible
GBR,United Kingdom,DM,2006-12-31,satellite-candidate
VNM,Vietnam,EM,2006-12-31,core-eligible
CHL,Chile,EM,2007-03-31,core-eligible
CZE,Czech Republic,EM,2007-03-31,core-eligible
GRC,Greece,DM,2007-03-31,satellite-candidate
ITA,Italy,DM,2007-03-31,satellite-candidate
JPN,Japan,DM,2007-03-31,satellite-candidate
KAZ,Kazakhstan,EM,2007-03-31,core-eligible
MYS,Malaysia,EM,2007-03-31,core-eligible
POL,Poland,EM,2007-03-31,core-eligible
PRT,Portugal,DM,2007-03-31,satellite-candidate
ZAF,South Africa,EM,2007-03-31,core-eligible
GBR,United Kingdom,DM,2007-03-31,satellite-candidate
VNM,Vietnam,EM,2007-03-31,core-eligible
CHL,Chile,EM,2007-06-30,core-eligible
CZE,Czech Republic,EM,2007-06-30,core-eligible
GRC,Greece,DM,2007-06-30,satellite-candidate
ITA,Italy,DM,2007-06-30,satellite-candidate
JPN,Japan,DM,2007-06-30,satellite-candidate
KAZ,Kazakhstan,EM,2007-06-30,core-eligible
MYS,Malaysia,EM,2007-06-30,core-eligible
PRT,Portugal,DM,2007-06-30,satellite-candidate
ZAF,South Africa,EM,2007-06-30,core-eligible
GBR,United Kingdom,DM,2007-06-30,satellite-candidate
VNM,Vietnam,EM,2007-06-30,core-eligible
ZMB,Zambia,EM,2007-06-30,core-eligible
CHL,Chile,EM,2007-09-30,core-eligible
CZE,Czech Republic,EM,2007-09-30,core-eligible
GRC,Greece,DM,2007-09-30,satellite-candidate
ITA,Italy,DM,2007-09-30,satellite-candidate
JPN,Japan,DM,2007-09-30,satellite-candidate
KAZ,Kazakhstan,EM,2007-09-30,core-eligible
MYS,Malaysia,EM,2007-09-30,core-eligible
PRT,Portugal,DM,2007-09-30,satellite-candidate
ZAF,South Africa,EM,2007-09-30,core-eligible
GBR,United Kingdom,DM,2007-09-30,satellite-candidate
VNM,Vietnam,EM,2007-09-30,core-eligible
ZMB,Zambia,EM,2007-09-30,core-eligible
CHL,Chile,EM,2007-12-31,core-eligible
CZE,Czech Republic,EM,2007-12-31,core-eligible
GRC,Greece,DM,2007-12-31,satellite-candidate
ITA,Italy,DM,2007-12-31,satellite-candidate
JPN,Japan,DM,2007-12-31,satellite-candidate
KAZ,Kazakhstan,EM,2007-12-31,core-eligible
MYS,Malaysia,EM,2007-12-31,core-eligible
PRT,Portugal,DM,2007-12-31,satellite-candidate
ZAF,South Africa,EM,2007-12-31,core-eligible
GBR,United Kingdom,DM,2007-12-31,satellite-candidate
VNM,Vietnam,EM,2007-12-31,core-eligible
ZMB,Zambia,EM,2007-12-31,core-eligible
CHL,Chile,EM,2008-03-31,core-eligible
CZE,Czech Republic,EM,2008-03-31,core-eligible
GRC,Greece,DM,2008-03-31,satellite-candidate
ITA,Italy,DM,2008-03-31,satellite-candidate
JPN,Japan,DM,2008-03-31,satellite-candidate
KAZ,Kazakhstan,EM,2008-03-31,core-eligible
MYS,Malaysia,EM,2008-03-31,core-eligible
PRT,Portugal,DM,2008-03-31,satellite-candidate
ZAF,South Africa,EM,2008-03-31,core-eligible
GBR,United Kingdom,DM,2008-03-31,satellite-candidate
VNM,Vietnam,EM,2008-03-31,core-eligible
ZMB,Zambia,EM,2008-03-31,core-eligible
CHL,Chile,EM,2008-06-30,core-eligible
CZE,Czech Republic,EM,2008-06-30,core-eligible
GRC,Greece,DM,2008-06-30,satellite-candidate
ITA,Italy,DM,2008-06-30,satellite-candidate
JPN,Japan,DM,2008-06-30,satellite-candidate
KAZ,Kazakhstan,EM,2008-06-30,core-eligible
MYS,Malaysia,EM,2008-06-30,core-eligible
POL,Poland,EM,2008-06-30,core-eligible
PRT,Portugal,DM,2008-06-30,satellite-candidate
GBR,United Kingdom,DM,2008-06-30,satellite-candidate
CHL,Chile,EM,2008-09-30,core-eligible
CZE,Czech Republic,EM,2008-09-30,core-eligible
GRC,Greece,DM,2008-09-30,satellite-candidate
ITA,Italy,DM,2008-09-30,satellite-candidate
JPN,Japan,DM,2008-09-30,satellite-candidate
KAZ,Kazakhstan,EM,2008-09-30,core-eligible
MYS,Malaysia,EM,2008-09-30,core-eligible
POL,Poland,EM,2008-09-30,core-eligible
PRT,Portugal,DM,2008-09-30,satellite-candidate
GBR,United Kingdom,DM,2008-09-30,satellite-candidate
CHL,Chile,EM,2008-12-31,core-eligible
CZE,Czech Republic,EM,2008-12-31,core-eligible
GRC,Greece,DM,2008-12-31,satellite-candidate
ITA,Italy,DM,2008-12-31,satellite-candidate
JPN,Japan,DM,2008-12-31,satellite-candidate
KAZ,Kazakhstan,EM,2008-12-31,core-eligible
MYS,Malaysia,EM,2008-12-31,core-eligible
POL,Poland,EM,2008-12-31,core-eligible
PRT,Portugal,DM,2008-12-31,satellite-candidate
GBR,United Kingdom,DM,2008-12-31,satellite-candidate
USA,United States,DM,2008-12-31,satellite-candidate
CHL,Chile,EM,2009-03-31,core-eligible
CZE,Czech Republic,EM,2009-03-31,core-eligible
GRC,Greece,DM,2009-03-31,satellite-candidate
ITA,Italy,DM,2009-03-31,satellite-candidate
JPN,Japan,DM,2009-03-31,satellite-candidate
KAZ,Kazakhstan,EM,2009-03-31,core-eligible
MYS,Malaysia,EM,2009-03-31,core-eligible
POL,Poland,EM,2009-03-31,core-eligible
PRT,Portugal,DM,2009-03-31,satellite-candidate
GBR,United Kingdom,DM,2009-03-31,satellite-candidate
USA,United States,DM,2009-03-31,satellite-candidate
BEL,Belgium,DM,2009-06-30,satellite-candidate
CHL,Chile,EM,2009-06-30,core-eligible
CZE,Czech Republic,EM,2009-06-30,core-eligible
FRA,France,DM,2009-06-30,satellite-candidate
GRC,Greece,DM,2009-06-30,satellite-candidate
ITA,Italy,DM,2009-06-30,satellite-candidate
JPN,Japan,DM,2009-06-30,satellite-candidate
KAZ,Kazakhstan,EM,2009-06-30,core-eligible
MYS,Malaysia,EM,2009-06-30,core-eligible
POL,Poland,EM,2009-06-30,core-eligible
PRT,Portugal,DM,2009-06-30,satellite-candidate
GBR,United Kingdom,DM,2009-06-30,satellite-candidate
USA,United States,DM,2009-06-30,satellite-candidate
BEL,Belgium,DM,2009-09-30,satellite-candidate
CHL,Chile,EM,2009-09-30,core-eligible
CZE,Czech Republic,EM,2009-09-30,core-eligible
FRA,France,DM,2009-09-30,satellite-candidate
GRC,Greece,DM,2009-09-30,satellite-candidate
ITA,Italy,DM,2009-09-30,satellite-candidate
JPN,Japan,DM,2009-09-30,satellite-candidate
KAZ,Kazakhstan,EM,2009-09-30,core-eligible
MYS,Malaysia,EM,2009-09-30,core-eligible
POL,Poland,EM,2009-09-30,core-eligible
PRT,Portugal,DM,2009-09-30,satellite-candidate
GBR,United Kingdom,DM,2009-09-30,satellite-candidate
USA,United States,DM,2009-09-30,satellite-candidate
BEL,Belgium,DM,2009-12-31,satellite-candidate
CHL,Chile,EM,2009-12-31,core-eligible
CZE,Czech Republic,EM,2009-12-31,core-eligible
FRA,France,DM,2009-12-31,satellite-candidate
GRC,Greece,DM,2009-12-31,satellite-candidate
ITA,Italy,DM,2009-12-31,satellite-candidate
JPN,Japan,DM,2009-12-31,satellite-candidate
KAZ,Kazakhstan,EM,2009-12-31,core-eligible
MYS,Malaysia,EM,2009-12-31,core-eligible
POL,Poland,EM,2009-12-31,core-eligible
PRT,Portugal,DM,2009-12-31,satellite-candidate
GBR,United Kingdom,DM,2009-12-31,satellite-candidate
USA,United States,DM,2009-12-31,satellite-candidate
BEL,Belgium,DM,2010-03-31,satellite-candidate
CHL,Chile,EM,2010-03-31,core-eligible
CZE,Czech Republic,EM,2010-03-31,core-eligible
FRA,France,DM,2010-03-31,satellite-candidate
GRC,Greece,DM,2010-03-31,satellite-candidate
ITA,Italy,DM,2010-03-31,satellite-candidate
JPN,Japan,DM,2010-03-31,satellite-candidate
KAZ,Kazakhstan,EM,2010-03-31,core-eligible
MYS,Malaysia,EM,2010-03-31,core-eligible
POL,Poland,EM,2010-03-31,core-eligible
PRT,Portugal,DM,2010-03-31,satellite-candidate
GBR,United Kingdom,DM,2010-03-31,satellite-candidate
USA,United States,DM,2010-03-31,satellite-candidate
AUT,Austria,DM,2010-06-30,satellite-candidate
BEL,Belgium,DM,2010-06-30,satellite-candidate
CAN,Canada,DM,2010-06-30,satellite-candidate
CHL,Chile,EM,2010-06-30,core-eligible
FIN,Finland,DM,2010-06-30,satellite-candidate
FRA,France,DM,2010-06-30,satellite-candidate
DEU,Germany,DM,2010-06-30,satellite-candidate
GRC,Greece,DM,2010-06-30,satellite-candidate
ITA,Italy,DM,2010-06-30,satellite-candidate
JPN,Japan,DM,2010-06-30,satellite-candidate
KAZ,Kazakhstan,EM,2010-06-30,core-eligible
MYS,Malaysia,EM,2010-06-30,core-eligible
NLD,Netherlands,DM,2010-06-30,satellite-candidate
PRT,Portugal,DM,2010-06-30,satellite-candidate
ESP,Spain,DM,2010-06-30,satellite-candidate
GBR,United Kingdom,DM,2010-06-30,satellite-candidate
USA,United States,DM,2010-06-30,satellite-candidate
AUT,Austria,DM,2010-09-30,satellite-candidate
BEL,Belgium,DM,2010-09-30,satellite-candidate
CAN,Canada,DM,2010-09-30,satellite-candidate
CHL,Chile,EM,2010-09-30,core-eligible
FIN,Finland,DM,2010-09-30,satellite-candidate
FRA,France,DM,2010-09-30,satellite-candidate
DEU,Germany,DM,2010-09-30,satellite-candidate
GRC,Greece,DM,2010-09-30,satellite-candidate
ITA,Italy,DM,2010-09-30,satellite-candidate
JPN,Japan,DM,2010-09-30,satellite-candidate
KAZ,Kazakhstan,EM,2010-09-30,core-eligible
MYS,Malaysia,EM,2010-09-30,core-eligible
NLD,Netherlands,DM,2010-09-30,satellite-candidate
PRT,Portugal,DM,2010-09-30,satellite-candidate
ESP,Spain,DM,2010-09-30,satellite-candidate
GBR,United Kingdom,DM,2010-09-30,satellite-candidate
USA,United States,DM,2010-09-30,satellite-candidate
AUT,Austria,DM,2010-12-31,satellite-candidate
BEL,Belgium,DM,2010-12-31,satellite-candidate
CAN,Canada,DM,2010-12-31,satellite-candidate
CHL,Chile,EM,2010-12-31,core-eligible
FIN,Finland,DM,2010-12-31,satellite-candidate
FRA,France,DM,2010-12-31,satellite-candidate
DEU,Germany,DM,2010-12-31,satellite-candidate
GRC,Greece,DM,2010-12-31,satellite-candidate
ITA,Italy,DM,2010-12-31,satellite-candidate
JPN,Japan,DM,2010-12-31,satellite-candidate
KAZ,Kazakhstan,EM,2010-12-31,core-eligible
MYS,Malaysia,EM,2010-12-31,core-eligible
NLD,Netherlands,DM,2010-12-31,satellite-candidate
PRT,Portugal,DM,2010-12-31,satellite-candidate
ESP,Spain,DM,2010-12-31,satellite-candidate
GBR,United Kingdom,DM,2010-12-31,satellite-candidate
USA,United States,DM,2010-12-31,satellite-candidate
AUT,Austria,DM,2011-03-31,satellite-candidate
BEL,Belgium,DM,2011-03-31,satellite-candidate
CAN,Canada,DM,2011-03-31,satellite-candidate
CHL,Chile,EM,2011-03-31,core-eligible
FIN,Finland,DM,2011-03-31,satellite-candidate
FRA,France,DM,2011-03-31,satellite-candidate
DEU,Germany,DM,2011-03-31,satellite-candidate
GRC,Greece,DM,2011-03-31,satellite-candidate
ITA,Italy,DM,2011-03-31,satellite-candidate
JPN,Japan,DM,2011-03-31,satellite-candidate
KAZ,Kazakhstan,EM,2011-03-31,core-eligible
MYS,Malaysia,EM,2011-03-31,core-eligible
NLD,Netherlands,DM,2011-03-31,satellite-candidate
PRT,Portugal,DM,2011-03-31,satellite-candidate
ESP,Spain,DM,2011-03-31,satellite-candidate
GBR,United Kingdom,DM,2011-03-31,satellite-candidate
USA,United States,DM,2011-03-31,satellite-candidate
AUT,Austria,DM,2011-06-30,satellite-candidate
BEL,Belgium,DM,2011-06-30,satellite-candidate
CHL,Chile,EM,2011-06-30,core-eligible
CZE,Czech Republic,EM,2011-06-30,core-eligible
FRA,France,DM,2011-06-30,satellite-candidate
GRC,Greece,DM,2011-06-30,satellite-candidate
ITA,Italy,DM,2011-06-30,satellite-candidate
JPN,Japan,DM,2011-06-30,satellite-candidate
KAZ,Kazakhstan,EM,2011-06-30,core-eligible
MYS,Malaysia,EM,2011-06-30,core-eligible
PRT,Portugal,DM,2011-06-30,satellite-candidate
ESP,Spain,DM,2011-06-30,satellite-candidate
GBR,United Kingdom,DM,2011-06-30,satellite-candidate
USA,United States,DM,2011-06-30,satellite-candidate
ZMB,Zambia,EM,2011-06-30,core-eligible
AUT,Austria,DM,2011-09-30,satellite-candidate
BEL,Belgium,DM,2011-09-30,satellite-candidate
CAN,Canada,DM,2011-09-30,satellite-candidate
CHL,Chile,EM,2011-09-30,core-eligible
CZE,Czech Republic,EM,2011-09-30,core-eligible
FRA,France,DM,2011-09-30,satellite-candidate
GRC,Greece,DM,2011-09-30,satellite-candidate
ITA,Italy,DM,2011-09-30,satellite-candidate
JPN,Japan,DM,2011-09-30,satellite-candidate
KAZ,Kazakhstan,EM,2011-09-30,core-eligible
MYS,Malaysia,EM,2011-09-30,core-eligible
PRT,Portugal,DM,2011-09-30,satellite-candidate
ESP,Spain,DM,2011-09-30,satellite-candidate
GBR,United Kingdom,DM,2011-09-30,satellite-candidate
USA,United States,DM,2011-09-30,satellite-candidate
ZMB,Zambia,EM,2011-09-30,core-eligible
AUT,Austria,DM,2011-12-31,satellite-candidate
BEL,Belgium,DM,2011-12-31,satellite-candidate
CAN,Canada,DM,2011-12-31,satellite-candidate
CHL,Chile,EM,2011-12-31,core-eligible
CZE,Czech Republic,EM,2011-12-31,core-eligible
FRA,France,DM,2011-12-31,satellite-candidate
GRC,Greece,DM,2011-12-31,satellite-candidate
ITA,Italy,DM,2011-12-31,satellite-candidate
JPN,Japan,DM,2011-12-31,satellite-candidate
KAZ,Kazakhstan,EM,2011-12-31,core-eligible
MYS,Malaysia,EM,2011-12-31,core-eligible
PRT,Portugal,DM,2011-12-31,satellite-candidate
ESP,Spain,DM,2011-12-31,satellite-candidate
GBR,United Kingdom,DM,2011-12-31,satellite-candidate
USA,United States,DM,2011-12-31,satellite-candidate
ZMB,Zambia,EM,2011-12-31,core-eligible
AUT,Austria,DM,2012-03-31,satellite-candidate
BEL,Belgium,DM,2012-03-31,satellite-candidate
CAN,Canada,DM,2012-03-31,satellite-candidate
CHL,Chile,EM,2012-03-31,core-eligible
CZE,Czech Republic,EM,2012-03-31,core-eligible
FRA,France,DM,2012-03-31,satellite-candidate
GRC,Greece,DM,2012-03-31,satellite-candidate
ITA,Italy,DM,2012-03-31,satellite-candidate
JPN,Japan,DM,2012-03-31,satellite-candidate
KAZ,Kazakhstan,EM,2012-03-31,core-eligible
MYS,Malaysia,EM,2012-03-31,core-eligible
PRT,Portugal,DM,2012-03-31,satellite-candidate
ESP,Spain,DM,2012-03-31,satellite-candidate
GBR,United Kingdom,DM,2012-03-31,satellite-candidate
USA,United States,DM,2012-03-31,satellite-candidate
ZMB,Zambia,EM,2012-03-31,core-eligible
BEL,Belgium,DM,2012-06-30,satellite-candidate
CHL,Chile,EM,2012-06-30,core-eligible
CZE,Czech Republic,EM,2012-06-30,core-eligible
