country,agency,downgrade_date,rating,single_sourced_ge_only,status,n_near_available,n_near_valid,n_baseline_available,n_baseline_valid,near_mean_risk_score,baseline_mean_risk_score,diff
Brazil,Fitch,1999-01-26,B,False,no_preceding_data,,,,,,,
Brazil,Fitch,2002-06-20,B+,False,no_preceding_data,,,,,,,
Brazil,Fitch,2002-10-21,B,False,no_preceding_data,,,,,,,
Brazil,Fitch,2015-10-15,BBB-,False,ok,4.0,4.0,4.0,4.0,0.5646716058337399,0.5763535103569581,-0.011681904523218267
Brazil,Fitch,2015-12-16,BB+,False,ok,4.0,4.0,4.0,4.0,0.5646716058337399,0.5763535103569581,-0.011681904523218267
Brazil,Fitch,2016-05-05,BB,False,ok,4.0,4.0,4.0,4.0,0.5703906719120041,0.5595420573552421,0.010848614556762004
Brazil,Fitch,2018-02-23,BB-,False,ok,4.0,4.0,4.0,4.0,0.5347265274026008,0.5519681007886862,-0.01724157338608534
Brazil,Moody's,1987-12-04,B1,False,no_preceding_data,,,,,,,
Brazil,Moody's,1989-03-28,B2,False,no_preceding_data,,,,,,,
Brazil,Moody's,1998-09-03,B2,False,no_preceding_data,,,,,,,
Brazil,Moody's,2002-08-12,B2,False,no_preceding_data,,,,,,,
Brazil,Moody's,2015-08-11,Baa3,False,ok,4.0,4.0,4.0,4.0,0.5626755526139873,0.5820478048608162,-0.019372252246828925
Brazil,Moody's,2016-02-24,Ba2,False,ok,4.0,4.0,4.0,4.0,0.5669680272682573,0.5674067911194228,-0.0004387638511654801
Brazil,S&P,1999-01-01,B+,False,no_preceding_data,,,,,,,
Brazil,S&P,2002-07-01,B+,False,no_preceding_data,,,,,,,
Brazil,S&P,2014-03-24,BBB-,False,ok,4.0,4.0,4.0,4.0,0.5754353996207008,0.6514703544121561,-0.07603495479145528
Brazil,S&P,2015-09-09,BB+,False,ok,4.0,4.0,4.0,4.0,0.5626755526139873,0.5820478048608162,-0.019372252246828925
Brazil,S&P,2016-02-17,BB,False,ok,4.0,4.0,4.0,4.0,0.5669680272682573,0.5674067911194228,-0.0004387638511654801
