framing,model,rebal_date,n_train,n_test,horizon,ic
classification,lasso_logistic,2009-09-30,22,4,monthly,
classification,random_forest,2009-09-30,22,4,monthly,
classification,xgboost,2009-09-30,22,4,monthly,
classification,lasso_logistic,2009-12-31,26,3,monthly,
classification,random_forest,2009-12-31,26,3,monthly,
classification,xgboost,2009-12-31,26,3,monthly,
classification,lasso_logistic,2010-03-31,29,5,monthly,
classification,random_forest,2010-03-31,29,5,monthly,
classification,xgboost,2010-03-31,29,5,monthly,
classification,lasso_logistic,2010-06-30,34,3,monthly,
classification,random_forest,2010-06-30,34,3,monthly,
classification,xgboost,2010-06-30,34,3,monthly,
classification,lasso_logistic,2010-09-30,37,4,monthly,
classification,random_forest,2010-09-30,37,4,monthly,
classification,xgboost,2010-09-30,37,4,monthly,
classification,lasso_logistic,2010-12-31,41,4,monthly,
classification,random_forest,2010-12-31,41,4,monthly,
classification,xgboost,2010-12-31,41,4,monthly,
classification,lasso_logistic,2011-03-31,45,4,monthly,
classification,random_forest,2011-03-31,45,4,monthly,
classification,xgboost,2011-03-31,45,4,monthly,
classification,lasso_logistic,2011-06-30,49,6,monthly,
classification,random_forest,2011-06-30,49,6,monthly,
classification,xgboost,2011-06-30,49,6,monthly,
classification,lasso_logistic,2011-09-30,55,7,monthly,
classification,random_forest,2011-09-30,55,7,monthly,
classification,xgboost,2011-09-30,55,7,monthly,
classification,lasso_logistic,2011-12-31,62,7,monthly,
classification,random_forest,2011-12-31,62,7,monthly,
classification,xgboost,2011-12-31,62,7,monthly,
classification,lasso_logistic,2012-03-31,69,7,monthly,
classification,random_forest,2012-03-31,69,7,monthly,
classification,xgboost,2012-03-31,69,7,monthly,
classification,lasso_logistic,2012-06-30,76,8,monthly,
classification,random_forest,2012-06-30,76,8,monthly,
classification,xgboost,2012-06-30,76,8,monthly,
classification,lasso_logistic,2012-09-30,84,10,monthly,
classification,random_forest,2012-09-30,84,10,monthly,
classification,xgboost,2012-09-30,84,10,monthly,
classification,lasso_logistic,2012-12-31,94,10,monthly,
classification,random_forest,2012-12-31,94,10,monthly,
classification,xgboost,2012-12-31,94,10,monthly,
classification,lasso_logistic,2013-06-30,104,4,monthly,
classification,random_forest,2013-06-30,104,4,monthly,
classification,xgboost,2013-06-30,104,4,monthly,
classification,lasso_logistic,2013-09-30,108,4,monthly,
classification,random_forest,2013-09-30,108,4,monthly,
classification,xgboost,2013-09-30,108,4,monthly,
classification,lasso_logistic,2013-12-31,112,4,monthly,
classification,random_forest,2013-12-31,112,4,monthly,
classification,xgboost,2013-12-31,112,4,monthly,
classification,lasso_logistic,2014-03-31,116,4,monthly,
classification,random_forest,2014-03-31,116,4,monthly,
classification,xgboost,2014-03-31,116,4,monthly,
classification,lasso_logistic,2014-06-30,120,4,monthly,
classification,random_forest,2014-06-30,120,4,monthly,
classification,xgboost,2014-06-30,120,4,monthly,
classification,lasso_logistic,2014-09-30,124,4,monthly,
classification,random_forest,2014-09-30,124,4,monthly,
classification,xgboost,2014-09-30,124,4,monthly,
classification,lasso_logistic,2014-12-31,128,4,monthly,
classification,random_forest,2014-12-31,128,4,monthly,
classification,xgboost,2014-12-31,128,4,monthly,
classification,lasso_logistic,2015-03-31,132,4,monthly,
classification,random_forest,2015-03-31,132,4,monthly,
classification,xgboost,2015-03-31,132,4,monthly,
classification,lasso_logistic,2015-06-30,136,4,monthly,
classification,random_forest,2015-06-30,136,4,monthly,
classification,xgboost,2015-06-30,136,4,monthly,
classification,lasso_logistic,2015-09-30,140,4,monthly,
classification,random_forest,2015-09-30,140,4,monthly,
classification,xgboost,2015-09-30,140,4,monthly,
classification,lasso_logistic,2015-12-31,144,4,monthly,
classification,random_forest,2015-12-31,144,4,monthly,
classification,xgboost,2015-12-31,144,4,monthly,
classification,lasso_logistic,2016-03-31,148,4,monthly,
classification,random_forest,2016-03-31,148,4,monthly,
classification,xgboost,2016-03-31,148,4,monthly,
classification,lasso_logistic,2016-06-30,152,4,monthly,
classification,random_forest,2016-06-30,152,4,monthly,
classification,xgboost,2016-06-30,152,4,monthly,
classification,lasso_logistic,2016-09-30,156,4,monthly,
classification,random_forest,2016-09-30,156,4,monthly,
classification,xgboost,2016-09-30,156,4,monthly,
classification,lasso_logistic,2016-12-31,160,4,monthly,
classification,random_forest,2016-12-31,160,4,monthly,
classification,xgboost,2016-12-31,160,4,monthly,
classification,lasso_logistic,2017-03-31,164,4,monthly,
classification,random_forest,2017-03-31,164,4,monthly,
classification,xgboost,2017-03-31,164,4,monthly,
classification,lasso_logistic,2017-06-30,168,5,monthly,
classification,random_forest,2017-06-30,168,5,monthly,
classification,xgboost,2017-06-30,168,5,monthly,
classification,lasso_logistic,2017-09-30,173,5,monthly,
classification,random_forest,2017-09-30,173,5,monthly,
classification,xgboost,2017-09-30,173,5,monthly,
classification,lasso_logistic,2017-12-31,178,5,monthly,
classification,random_forest,2017-12-31,178,5,monthly,
classification,xgboost,2017-12-31,178,5,monthly,
classification,lasso_logistic,2018-06-30,183,2,monthly,
classification,random_forest,2018-06-30,183,2,monthly,
classification,xgboost,2018-06-30,183,2,monthly,
classification,lasso_logistic,2018-09-30,185,1,monthly,
classification,random_forest,2018-09-30,185,1,monthly,
classification,xgboost,2018-09-30,185,1,monthly,
classification,lasso_logistic,2018-12-31,186,1,monthly,
classification,random_forest,2018-12-31,186,1,monthly,
classification,xgboost,2018-12-31,186,1,monthly,
classification,lasso_logistic,2019-03-31,187,1,monthly,
classification,random_forest,2019-03-31,187,1,monthly,
classification,xgboost,2019-03-31,187,1,monthly,
classification,lasso_logistic,2019-06-30,188,1,monthly,
classification,random_forest,2019-06-30,188,1,monthly,
classification,xgboost,2019-06-30,188,1,monthly,
classification,lasso_logistic,2020-03-31,189,1,monthly,
classification,random_forest,2020-03-31,189,1,monthly,
classification,xgboost,2020-03-31,189,1,monthly,
classification,lasso_logistic,2020-06-30,190,1,monthly,
classification,random_forest,2020-06-30,190,1,monthly,
classification,xgboost,2020-06-30,190,1,monthly,
classification,lasso_logistic,2020-09-30,191,1,monthly,
