framing,model,n_folds,n_pooled_obs,auc,horizon,mean_ic,ic_t_stat,ic_one_sided_p
classification,lasso_logistic,52,243.0,0.6172554347826087,monthly,,,
classification,random_forest,52,243.0,0.5895380434782609,monthly,,,
classification,xgboost,52,243.0,0.6004755434782608,monthly,,,
regression,lasso,52,,,monthly,0.0014637862795201012,0.01241238039444492,0.49517037513919876
regression,random_forest,52,,,monthly,-0.023494357704884027,-0.2717281887412814,0.6063083466175885
regression,xgboost,52,,,monthly,-0.04219805798753166,-0.4781386182282232,0.6822787954674059
classification,lasso_logistic,52,251.0,0.5595053095053095,quarterly,,,
classification,random_forest,52,251.0,0.5455192955192956,quarterly,,,
classification,xgboost,52,251.0,0.5502784252784253,quarterly,,,
regression,lasso,52,,,quarterly,0.07580139159086527,0.8340089835927473,0.2049660502801881
regression,random_forest,52,,,quarterly,-0.16751096224780432,-1.8660805669825222,0.9649030750869305
regression,xgboost,52,,,quarterly,-0.2613317692265061,-3.61994254922974,0.9995505568910658
classification,lasso_logistic,50,238.0,0.4669883746435622,semi_annual,,,
classification,random_forest,50,238.0,0.4959420925641588,semi_annual,,,
classification,xgboost,50,238.0,0.4419828909848651,semi_annual,,,
regression,lasso,50,,,semi_annual,-0.04870517953224721,-0.5698107580197753,0.7137239271120066
regression,random_forest,50,,,semi_annual,-0.022549906234116738,-0.2270901150996586,0.5891431913697999
regression,xgboost,50,,,semi_annual,-0.14102534057421276,-1.5942213423884213,0.9399292019694557
